商品ID,商品名,商品説明,販売価格,在庫数
prod001,Product 1,<font color='red'>Description 1</font> with some <b>bold text</b> and <i>italic</i> styles.,1100,5
prod002,Product 2,<font color='red'>Description 2</font> with some <b>bold text</b> and <i>italic</i> styles.,1200,10
prod003,Product 3,<font color='red'>Description 3</font> with some <b>bold text</b> and <i>italic</i> styles.,1300,15
prod004,Product 4,<font color='red'>Description 4</font> with some <b>bold text</b> and <i>italic</i> styles.,1400,20
prod005,Product 5,<font color='red'>Description 5</font> with some <b>bold text</b> and <i>italic</i> styles.,1500,25
prod006,Product 6,<font color='red'>Description 6</font> with some <b>bold text</b> and <i>italic</i> styles.,1600,30
prod007,Product 7,<font color='red'>Description 7</font> with some <b>bold text</b> and <i>italic</i> styles.,1700,35
prod008,Product 8,<font color='red'>Description 8</font> with some <b>bold text</b> and <i>italic</i> styles.,1800,40
prod009,Product 9,<font color='red'>Description 9</font> with some <b>bold text</b> and <i>italic</i> styles.,1900,45
prod010,Product 10,<font color='red'>Description 10</font> with some <b>bold text</b> and <i>italic</i> styles.,2000,50
prod011,Product 11,<font color='red'>Description 11</font> with some <b>bold text</b> and <i>italic</i> styles.,2100,55
prod012,Product 12,<font color='red'>Description 12</font> with some <b>bold text</b> and <i>italic</i> styles.,2200,0
prod013,Product 13,<font color='red'>Description 13</font> with some <b>bold text</b> and <i>italic</i> styles.,2300,5
prod014,Product 14,<font color='red'>Description 14</font> with some <b>bold text</b> and <i>italic</i> styles.,2400,10
prod015,Product 15,<font color='red'>Description 15</font> with some <b>bold text</b> and <i>italic</i> styles.,2500,15
prod016,Product 16,<font color='red'>Description 16</font> with some <b>bold text</b> and <i>italic</i> styles.,2600,20
prod017,Product 17,<font color='red'>Description 17</font> with some <b>bold text</b> and <i>italic</i> styles.,2700,25
prod018,Product 18,<font color='red'>Description 18</font> with some <b>bold text</b> and <i>italic</i> styles.,2800,30
prod019,Product 19,<font color='red'>Description 19</font> with some <b>bold text</b> and <i>italic</i> styles.,2900,35
prod020,Product 20,<font color='red'>Description 20</font> with some <b>bold text</b> and <i>italic</i> styles.,3000,40
